gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000172818.9,OVOL1,-6.563290096519948,NA,5.2633307703551594e-11,0.16370125113791642,NA,NA,NA,2,2,2
ENSG00000168477.17,TNXB,6.358893871307372,NA,2.032117412399837e-10,0.0005239496223694285,NA,NA,NA,1,1,1
ENSG00000258366.7,RTEL1,-5.97599172592163,NA,2.2869460764622967e-09,0.004368984564300919,NA,NA,NA,1,1,1
ENSG00000186226.8,LCE1E,5.865116141139694,NA,4.4881843081983296e-09,9.764568696889301e-08,NA,NA,NA,2,2,2
ENSG00000254470.2,AP5B1,-5.845250111262196,NA,5.058077087879272e-09,0.03111718589983809,NA,NA,NA,2,2,2
ENSG00000213654.9,GPSM3,-5.406472206115722,NA,6.427819645813319e-08,9.004912820656088e-05,NA,NA,NA,1,1,1
ENSG00000151327.12,FAM177A1,5.364554108265901,NA,8.114943175555533e-08,0.04952711738967777,NA,NA,NA,3,3,3
ENSG00000204314.10,PRRT1,-5.314679145812987,NA,1.068454217272045e-07,0.0008715970756288272,NA,NA,NA,1,1,1
ENSG00000113520.10,IL4,5.127352248383425,NA,2.9384542324549987e-07,0.04722501087993053,NA,NA,NA,2,2,2
ENSG00000197084.5,LCE1C,5.111813545227052,NA,3.190806823133936e-07,1.0241722411286086e-05,NA,NA,NA,1,1,1
ENSG00000204308.7,RNF5,4.999437921559721,NA,5.749768003564083e-07,0.17996085532887346,NA,NA,NA,3,3,3
ENSG00000204301.6,NOTCH4,4.954426836048419,NA,7.254380563454462e-07,0.31354766072509066,NA,NA,NA,2,2,2
ENSG00000100890.15,KIAA0391,4.853291511535645,NA,1.2142899198896289e-06,0.0534039677870269,NA,NA,NA,1,1,1
ENSG00000131323.14,TRAF3,4.449614035296687,NA,8.60247445570101e-06,0.07657907363349738,NA,NA,NA,3,3,3
