gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000176075.7,LINC00302,-12.185345649719238,NA,3.720724686768655e-34,0.0008097551089114404,NA,NA,NA,1,1,1
ENSG00000143631.10,FLG,-11.202527173501185,NA,3.962653591918821e-29,0.013221136105937644,NA,NA,NA,3,3,3
ENSG00000236427.1,RP11-107M16.2,-6.497964382171632,NA,8.141407241119959e-11,5.478024182242143e-08,NA,NA,NA,1,1,1
ENSG00000204435.13,CSNK2B,-6.4832730293273935,NA,8.97538605404817e-11,1.8688087001149473e-06,NA,NA,NA,1,1,1
ENSG00000168477.17,TNXB,6.358893871307374,NA,2.0321174123998074e-10,0.0006024460791338443,NA,NA,NA,1,1,1
ENSG00000143365.17,RORC,-6.19555765703473,NA,5.80790264932996e-10,0.003973319814630346,NA,NA,NA,3,3,3
ENSG00000101246.19,ARFRP1,5.885390758514403,NA,3.971146152117041e-09,0.0009695716716393897,NA,NA,NA,1,1,1
ENSG00000213171.2,LINGO4,5.4996121104297275,NA,3.8062763666984284e-08,0.16999823819857268,NA,NA,NA,2,2,2
ENSG00000186226.8,LCE1E,5.3899699300554165,NA,7.046947401071736e-08,0.3381975777091182,NA,NA,NA,4,4,4
ENSG00000197084.5,LCE1C,-5.111813545227052,NA,3.190806823133936e-07,2.683168643185906e-07,NA,NA,NA,1,1,1
ENSG00000068137.14,PLEKHH3,5.001824378967285,NA,5.679031337406723e-07,0.004808445781683438,NA,NA,NA,1,1,1
ENSG00000254470.2,AP5B1,4.759437499043468,NA,1.941332275482005e-06,0.0055240022675323176,NA,NA,NA,2,2,2
ENSG00000163606.10,CD200R1,4.711565248141366,NA,2.458213644037003e-06,0.0022053681578570426,NA,NA,NA,2,2,2
ENSG00000203896.9,LIME1,-4.698907818538042,NA,2.615564688260809e-06,0.02829848264061122,NA,NA,NA,3,3,3
ENSG00000204308.7,RNF5,4.592238848583419,NA,4.385160757124082e-06,0.04347380872009204,NA,NA,NA,3,3,3
ENSG00000204315.3,FKBPL,4.512529688091688,NA,6.40589646065861e-06,0.009787330927591561,NA,NA,NA,2,2,2
ENSG00000243509.4,TNFRSF6B,-4.471746340193138,NA,7.758342102434621e-06,0.010592388333356555,NA,NA,NA,3,3,3
ENSG00000092020.10,PPP2R3C,4.287332506465192,NA,1.808315120708394e-05,0.03464704112213296,NA,NA,NA,2,2,2
ENSG00000100902.10,PSMA6,4.230807764193044,NA,2.328536109640196e-05,0.0014924249206022505,NA,NA,NA,2,2,2
ENSG00000159352.15,PSMD4,4.179922580718994,NA,2.916083562160691e-05,0.002775699500052747,NA,NA,NA,1,1,1
ENSG00000143520.6,FLG2,-4.150668412960238,NA,3.315057377315371e-05,0.006457776548028941,NA,NA,NA,2,2,2
ENSG00000204421.2,LY6G6C,-4.075802803039551,NA,4.5855867523843636e-05,0.0004363672123314729,NA,NA,NA,1,1,1
ENSG00000231028.8,LINC00271,-4.018747329711914,NA,5.850837186214578e-05,0.04031017171217639,NA,NA,NA,1,1,1
ENSG00000164691.16,TAGAP,-4.001602500847993,NA,6.291492952467418e-05,0.0029788483120481075,NA,NA,NA,2,2,2
ENSG00000100368.13,CSF2RB,-3.977185249328613,NA,6.97358373518313e-05,0.003417295088855368,NA,NA,NA,1,1,1
ENSG00000204252.13,HLA-DOA,-3.967346339485526,NA,7.267734037182978e-05,0.017397044645567957,NA,NA,NA,4,4,4
ENSG00000103599.19,IQCH,3.940635919570923,NA,8.12658886461721e-05,0.052157187689140704,NA,NA,NA,1,1,1
ENSG00000197375.12,SLC22A5,3.9245001072426406,NA,8.691002066111554e-05,0.16334575477957008,NA,NA,NA,2,2,2
ENSG00000033627.16,ATP6V0A1,-3.9215768702174905,NA,8.79713743204765e-05,0.000854696460126471,NA,NA,NA,2,2,2
ENSG00000182134.15,TDRKH,-3.908422708511352,NA,9.290065825280354e-05,0.027237850643138186,NA,NA,NA,1,1,1
ENSG00000116031.8,CD207,3.9016511568565906,NA,9.553877335075063e-05,0.021243429472127616,NA,NA,NA,4,4,4
ENSG00000169469.8,SPRR1B,3.875933408737182,NA,0.00010621673239929452,0.052175704768007175,NA,NA,NA,1,1,1
ENSG00000161298.17,ZNF382,-3.862487316131592,NA,0.00011223839442425304,0.005612713928780026,NA,NA,NA,1,1,1
ENSG00000100890.15,KIAA0391,3.8258971710255665,NA,0.0001302966741741487,0.050393383560147616,NA,NA,NA,2,2,2
ENSG00000016864.18,GLT8D1,-3.812654972076416,NA,0.00013748197193700983,0.0011414778373601794,NA,NA,NA,1,1,1
ENSG00000228727.8,SAPCD1,-3.8029184869227444,NA,0.0001430014182171684,0.0039023836973535848,NA,NA,NA,2,2,2
ENSG00000108784.9,NAGLU,3.7987925866728682,NA,0.00014540270870570246,0.048379306357292914,NA,NA,NA,3,3,3
ENSG00000241794.1,SPRR2A,3.78597974559153,NA,0.00015310414562259503,0.000661959248936256,NA,NA,NA,2,2,2
ENSG00000254810.1,RP11-672A2.4,-3.7825985805066233,NA,0.00015519959574662083,0.013467845108080271,NA,NA,NA,2,2,2
ENSG00000228221.5,LINC00578,-3.7154188156127934,NA,0.0002028673942147579,0.0025346679659152766,NA,NA,NA,1,1,1
ENSG00000103018.16,CYB5B,-3.7073806580298156,NA,0.00020941404909816685,0.026120624314563443,NA,NA,NA,2,2,2
ENSG00000276529.1,AP001505.10,3.6218755897207604,NA,0.00029247477959243,0.12261914571282513,NA,NA,NA,2,2,2
ENSG00000204439.3,C6orf47,3.6197762489318857,NA,0.00029485787293270235,0.000313068440248289,NA,NA,NA,1,1,1
ENSG00000103591.12,AAGAB,-3.580593034496496,NA,0.00034281525107717875,0.008101974654351111,NA,NA,NA,2,2,2
ENSG00000258366.7,RTEL1,3.5579358360546802,NA,0.00037378058510225483,0.013559874089906178,NA,NA,NA,2,2,2
ENSG00000234745.10,HLA-B,-3.556731080454365,NA,0.00037549818977762617,0.083045991995781,NA,NA,NA,4,4,4
ENSG00000152582.13,SPEF2,3.550788640975952,NA,0.00038407872420237644,0.003419128507093487,NA,NA,NA,1,1,1
ENSG00000175344.17,CHRNA7,-3.5370923387859117,NA,0.0004045581970627586,0.030056977115412067,NA,NA,NA,2,2,2
ENSG00000105258.8,POLR2I,-3.5340779080411315,NA,0.000409200442607399,0.004204228716464853,NA,NA,NA,2,2,2
ENSG00000131437.15,KIF3A,-3.5183264111951553,NA,0.000434277833776546,0.02978873202715901,NA,NA,NA,2,2,2
ENSG00000159208.15,CIART,3.5174088478088383,NA,0.0004357819934421031,0.0007655036372759015,NA,NA,NA,1,2,2
ENSG00000204099.11,NEU4,-3.513397408265175,NA,0.0004424152252046564,0.15613865583771494,NA,NA,NA,4,4,4
ENSG00000134262.12,AP4B1,-3.5063385506609674,NA,0.00045431695839492507,0.003838379304943999,NA,NA,NA,3,3,3
ENSG00000154678.16,PDE1C,-3.50363278388977,NA,0.00045895777545566557,0.0001209054640640826,NA,NA,NA,1,1,1
ENSG00000151327.12,FAM177A1,3.496537473458648,NA,0.00047133828759984224,0.032074029447444745,NA,NA,NA,3,3,3
ENSG00000186088.15,GSAP,-3.4938393282842863,NA,0.00047612747577744063,0.04760650430561988,NA,NA,NA,2,2,2
ENSG00000204516.9,MICB,3.4620565391540157,NA,0.0005360645286877416,0.2788199628108572,NA,NA,NA,3,3,3
ENSG00000272459.1,RP11-1277A3.3,3.4396821420292136,NA,0.0005823977471895155,0.20030324299503027,NA,NA,NA,2,2,2
ENSG00000065000.15,AP3D1,3.4393699459388567,NA,0.0005830698596993256,0.005328008167087502,NA,NA,NA,2,2,2
ENSG00000163216.6,SPRR2D,-3.4373915195465083,NA,0.0005873459385663871,0.018346787331768106,NA,NA,NA,1,1,1
ENSG00000115604.10,IL18R1,3.4258970385170784,NA,0.0006127726189181519,0.13009058558832368,NA,NA,NA,3,3,3
ENSG00000131323.14,TRAF3,3.4121937751770015,NA,0.000644422861739165,0.0341730928371485,NA,NA,NA,1,1,1
ENSG00000090316.15,MAEA,3.4073904238034327,NA,0.0006558723717859068,0.14616147780207528,NA,NA,NA,3,3,3
ENSG00000164402.13,SEPT8,3.403428023115197,NA,0.0006654594382331971,0.1705089552540151,NA,NA,NA,2,2,2
ENSG00000197536.11,C5orf56,-3.3873636722564693,NA,0.0007056777833227764,0.0055991083961375206,NA,NA,NA,1,1,1
ENSG00000100883.11,SRP54,-3.3781258368444207,NA,0.0007298167550009852,0.013460138204350068,NA,NA,NA,2,2,2
ENSG00000122042.9,UBL3,-3.3761456012725835,NA,0.0007350900668907112,0.00018652446493341434,NA,NA,NA,1,1,1
ENSG00000117602.11,RCAN3,-3.374801397323608,NA,0.0007386897867118125,0.0035995314363970955,NA,NA,NA,1,1,1
ENSG00000002016.17,RAD52,-3.3627854847687386,NA,0.0007716029729793174,0.0624516486910022,NA,NA,NA,2,2,2
ENSG00000114166.7,KAT2B,-3.3627263680131403,NA,0.0007717682155656697,0.0048313091256771004,NA,NA,NA,3,3,3
ENSG00000163755.8,HPS3,-3.350550021773493,NA,0.0008065124138511718,0.009347750318361199,NA,NA,NA,2,2,2
ENSG00000175643.8,RMI2,-3.3427695481910535,NA,0.000829467533822671,0.17798495785171872,NA,NA,NA,3,3,3
ENSG00000272221.1,XXbac-BPG181B23.7,3.3372950770107797,NA,0.0008459808049214633,6.669944702815216,NA,NA,NA,7,7,7
ENSG00000163131.10,CTSS,-3.324911836027755,NA,0.0008844649884479816,0.06789880647946692,NA,NA,NA,2,2,2
ENSG00000139977.13,NAA30,3.320364515380139,NA,0.0008989998287109416,0.02273144309892698,NA,NA,NA,3,3,3
ENSG00000144407.9,PTH2R,-3.314590587257073,NA,0.0009177743707652242,0.020472029926565095,NA,NA,NA,2,2,2
ENSG00000197608.11,ZNF841,3.3102849770002027,NA,0.000932010292673592,0.10144055348898884,NA,NA,NA,2,2,2
