gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000204366.3,ZBTB12,-6.990597473512572,NA,2.7371804657894373e-12,0.6200104684820631,NA,NA,NA,2,2.0,2
ENSG00000204315.3,FKBPL,-6.67236703491568,NA,2.5171007752055716e-11,0.020031218646988622,NA,NA,NA,3,3.0,3
ENSG00000204482.10,LST1,6.602260716385692,NA,4.049345498632492e-11,0.01162116692581202,NA,NA,NA,3,3.0,3
ENSG00000197114.11,ZGPAT,6.069732666015625,NA,1.2812334747820691e-09,0.0019228993164148288,NA,NA,NA,1,1.0,1
ENSG00000204439.3,C6orf47,-5.925649698950703,NA,3.1106506018039564e-09,0.0002021251786853632,NA,NA,NA,2,2.0,2
ENSG00000101246.19,ARFRP1,-5.885390758514404,NA,3.971146152117013e-09,0.004576355676670917,NA,NA,NA,1,1.0,1
ENSG00000131323.14,TRAF3,-5.654393409221194,NA,1.5639761820061327e-08,0.01366849687286694,NA,NA,NA,2,2.0,2
ENSG00000131470.14,PSMC3IP,-5.3194756507873535,NA,1.0406673937837176e-07,0.004082327579186147,NA,NA,NA,1,1.0,1
ENSG00000197457.9,STMN3,5.172490731248178,NA,2.3099396134761605e-07,0.0494660477941303,NA,NA,NA,3,3.0,3
ENSG00000234745.10,HLA-B,-4.954694892669105,NA,7.244387305711217e-07,0.07859337189377394,NA,NA,NA,4,4.0,4
ENSG00000115607.9,IL18RAP,-4.699584006410746,NA,2.6069197047594623e-06,0.03146832423883271,NA,NA,NA,4,4.0,4
ENSG00000115602.16,IL1RL1,-4.694345474243165,NA,2.6746169670235996e-06,0.003975073149085094,NA,NA,NA,1,1.0,1
ENSG00000108788.11,MLX,-4.654871807746793,NA,3.241823404399559e-06,0.0013960854901960418,NA,NA,NA,2,2.0,2
ENSG00000204516.9,MICB,4.584664642293918,NA,4.547156652258286e-06,0.10252893899522932,NA,NA,NA,4,4.0,4
ENSG00000092020.10,PPP2R3C,-4.286220271327691,NA,1.8173879189421722e-05,0.1130089472491804,NA,NA,NA,2,2.0,2
ENSG00000196700.8,ZNF512B,-4.252690995447351,NA,2.1121693604958214e-05,0.007764116444341832,NA,NA,NA,3,3.0,3
ENSG00000143520.6,FLG2,-4.249227523803711,NA,2.1450895713975216e-05,6.979822430591173e-05,NA,NA,NA,1,1.0,1
ENSG00000206344.7,HCG27,-4.140148784053246,NA,3.4708063315970075e-05,0.049475850558155954,NA,NA,NA,4,4.0,4
ENSG00000204304.11,PBX2,4.080470107566008,NA,4.494470923517849e-05,0.006506717723965126,NA,NA,NA,4,4.0,4
ENSG00000197375.12,SLC22A5,4.073764457336341,NA,4.62592679327995e-05,0.19339558558226227,NA,NA,NA,3,3.0,3
ENSG00000198563.13,DDX39B,-4.044489060934657,NA,5.243735655587948e-05,0.129626496778943,NA,NA,NA,4,4.0,4
ENSG00000160712.12,IL6R,-3.9868752956390385,NA,6.694919138722436e-05,0.006930371180088497,NA,NA,NA,1,1.0,1
ENSG00000159352.15,PSMD4,3.9805167088416775,NA,6.876563078219886e-05,0.007771893551044078,NA,NA,NA,2,3.0,3
ENSG00000100362.12,PVALB,-3.9293218815566204,NA,8.518574873035791e-05,0.24928473711114166,NA,NA,NA,3,3.0,3
ENSG00000158815.10,FGF17,-3.8877498204724086,NA,0.00010117783139686186,0.02343194111275048,NA,NA,NA,2,2.0,2
ENSG00000118369.12,USP35,3.8873229092152064,NA,0.00010135588251730864,0.011653846328070781,NA,NA,NA,3,3.0,3
ENSG00000143375.14,CGN,-3.8440611362457275,NA,0.000121014837060599,4.2513249315957055e-08,NA,NA,NA,1,1.0,1
ENSG00000203896.9,LIME1,-3.8407106322946096,NA,0.000122678657604227,0.0061299806610736,NA,NA,NA,2,2.0,2
ENSG00000100902.10,PSMA6,-3.820149555726804,NA,0.00013337077943591612,0.000642403102061179,NA,NA,NA,2,2.0,2
ENSG00000016864.18,GLT8D1,-3.812654972076416,NA,0.00013748197193700983,1.9781230114915445e-06,NA,NA,NA,1,1.0,1
ENSG00000143536.7,CRNN,3.7754044532775874,NA,0.0001597482497427779,0.0021511929881011253,NA,NA,NA,1,1.0,1
ENSG00000197208.5,SLC22A4,3.76344661206404,NA,0.00016758751747552193,0.007604717059424681,NA,NA,NA,2,2.0,2
ENSG00000164691.16,TAGAP,-3.7026737317085696,NA,0.0002133391714654192,0.002269705728030789,NA,NA,NA,2,2.0,2
ENSG00000203785.8,SPRR2E,-3.7014763863543054,NA,0.000214348607421381,3.8864769328878387e-05,NA,NA,NA,2,2.0,2
ENSG00000102908.20,NFAT5,3.660339593887329,NA,0.0002518811975130128,0.0017682733243561566,NA,NA,NA,1,1.0,1
ENSG00000162366.7,PDZK1IP1,-3.654317855834961,NA,0.0002578666494926417,0.05817515673442742,NA,NA,NA,1,1.0,1
ENSG00000276529.1,AP001505.10,3.583160161972046,NA,0.00033946232053481317,0.04404719802712712,NA,NA,NA,1,1.0,1
ENSG00000139977.13,NAA30,3.5669877177154663,NA,0.0003611083987829978,0.07478372027812893,NA,NA,NA,2,2.0,2
ENSG00000130518.16,KIAA1683,-3.5605078358625426,NA,0.00037013826512387175,0.0976391665174638,NA,NA,NA,3,3.0,3
ENSG00000131437.15,KIF3A,-3.529627325257187,NA,0.0004161454080021893,0.01848580927988023,NA,NA,NA,2,2.0,2
ENSG00000147889.17,CDKN2A,3.4779970083030003,NA,0.0005051755631187983,0.007014232095938174,NA,NA,NA,2,2.0,2
ENSG00000105383.14,CD33,3.4745808823343807,NA,0.0005116520877995861,0.025967546792130907,NA,NA,NA,4,4.0,4
ENSG00000146376.10,ARHGAP18,3.4645422509579458,NA,0.0005311346988800827,0.004070596789739739,NA,NA,NA,2,2.0,2
ENSG00000105254.11,TBCB,-3.451454788776679,NA,0.0005575731632057753,0.01044377485317131,NA,NA,NA,2,2.0,2
ENSG00000258366.7,RTEL1,3.4479176798751423,NA,0.0005649261878881425,0.0040114073733602705,NA,NA,NA,2,2.0,2
ENSG00000141627.13,DYM,-3.4348654481099548,NA,0.0005928481089246951,0.05699883450792448,NA,NA,NA,3,3.0,3
ENSG00000204310.12,AGPAT1,3.4303167702133712,NA,0.0006028769894117891,0.001572511871493226,NA,NA,NA,2,2.0,2
ENSG00000160256.12,FAM207A,-3.4071946144104004,NA,0.0006563431016956197,0.004018736889865606,NA,NA,NA,1,1.0,1
ENSG00000113520.10,IL4,-3.389187097549438,NA,0.0007010016240832204,0.005248554048454271,NA,NA,NA,1,1.0,1
ENSG00000224959.1,AC017002.2,3.3834590911865234,NA,0.0007157887026052832,0.0006405088830667188,NA,NA,NA,1,1.0,1
ENSG00000065675.14,PRKCQ,-3.3697459697723384,NA,0.0007523750899676551,0.0008516489066933148,NA,NA,NA,1,1.0,1
ENSG00000167703.14,SLC43A2,-3.330638885498047,NA,0.0008664692722706627,0.0028008322553063963,NA,NA,NA,1,1.0,1
ENSG00000204099.11,NEU4,-3.326442249961387,NA,0.0008796224490379608,0.09035498800313993,NA,NA,NA,2,2.0,2
ENSG00000263033.2,RP11-396B14.2,3.324164638634896,NA,0.0008868382401315181,0.01913437864062288,NA,NA,NA,2,2.0,2
ENSG00000204351.11,SKIV2L,-3.3166863094660775,NA,0.0009109182978338481,0.06315525197602102,NA,NA,NA,3,3.0,3
ENSG00000158987.20,RAPGEF6,3.28953766822815,NA,0.0010035212336843027,0.003168129546948176,NA,NA,NA,1,1.0,1
ENSG00000143373.17,ZNF687,-3.2890439033508305,NA,0.001005283412941492,0.00010245655394650494,NA,NA,NA,1,2.0,2
ENSG00000225948.2,RP11-554I8.1,3.2885284584012724,NA,0.0010071260210009322,0.041844578086211864,NA,NA,NA,2,2.0,2
ENSG00000125347.13,IRF1,-3.270768165588379,NA,0.0010725579822424003,0.0008230443497851287,NA,NA,NA,1,1.0,1
ENSG00000197747.8,S100A10,-3.2625701427459717,NA,0.0011040684668560618,0.004070312353884785,NA,NA,NA,1,1.0,1
ENSG00000121406.8,ZNF549,3.2466428279876705,NA,0.001167748379666197,0.0007330610373043053,NA,NA,NA,1,1.0,1
ENSG00000172965.14,MIR4435-2HG,3.242992763561889,NA,0.001182812153393203,0.038556119460078704,NA,NA,NA,2,2.0,2
ENSG00000141446.10,ESCO1,3.235578060150146,NA,0.001213966870282093,0.0017946287070627934,NA,NA,NA,1,1.0,1
ENSG00000181036.13,FCRL6,-3.2312047481536865,NA,0.0012326960382065763,2.88512779674225e-05,NA,NA,NA,1,1.0,1
ENSG00000147324.10,MFHAS1,3.2286386489868164,NA,0.0012438094909880011,0.007942613049142688,NA,NA,NA,1,1.0,1
